,spread,half_life_roll,mean_crossings_roll,adf_p_roll,mr_regime_v2,mr_regime_adf,mr_regime_final,z,max_hold_days,pos,entry,exit,hold_days,cooldown,spread_chg,pnl_spread_units
2016-05-16,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-17,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-18,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-19,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-20,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-23,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-24,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-25,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-26,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-27,,,,,0,0,0,,20,0,0,0,0,,,
2016-05-31,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-01,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-02,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-03,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-06,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-07,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-08,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-09,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-10,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-13,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-14,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-15,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-16,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-17,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-20,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-21,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-22,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-23,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-24,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-27,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-28,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-29,,,,,0,0,0,,20,0,0,0,0,,,
2016-06-30,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-01,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-05,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-06,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-07,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-08,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-11,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-12,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-13,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-14,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-15,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-18,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-19,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-20,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-21,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-22,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-25,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-26,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-27,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-28,,,,,0,0,0,,20,0,0,0,0,,,
2016-07-29,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-01,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-02,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-03,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-04,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-05,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-08,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-09,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-10,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-11,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-12,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-15,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-16,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-17,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-18,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-19,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-22,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-23,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-24,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-25,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-26,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-29,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-30,,,,,0,0,0,,20,0,0,0,0,,,
2016-08-31,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-01,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-02,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-06,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-07,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-08,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-09,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-12,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-13,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-14,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-15,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-16,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-19,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-20,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-21,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-22,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-23,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-26,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-27,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-28,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-29,,,,,0,0,0,,20,0,0,0,0,,,
2016-09-30,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-03,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-04,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-05,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-06,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-07,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-10,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-11,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-12,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-13,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-14,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-17,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-18,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-19,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-20,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-21,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-24,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-25,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-26,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-27,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-28,,,,,0,0,0,,20,0,0,0,0,,,
2016-10-31,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-01,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-02,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-03,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-04,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-07,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-08,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-09,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-10,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-11,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-14,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-15,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-16,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-17,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-18,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-21,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-22,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-23,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-25,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-28,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-29,,,,,0,0,0,,20,0,0,0,0,,,
2016-11-30,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-01,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-02,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-05,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-06,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-07,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-08,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-09,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-12,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-13,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-14,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-15,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-16,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-19,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-20,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-21,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-22,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-23,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-27,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-28,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-29,,,,,0,0,0,,20,0,0,0,0,,,
2016-12-30,-0.0418989114772143,,,,0,0,0,,20,0,0,0,0,,,
2017-01-03,-0.0428044698872716,,,,0,0,0,,20,0,0,0,0,,-0.0009055584100573014,-0.0
2017-01-04,-0.0394165359896803,,,,0,0,0,,20,0,0,0,0,,0.0033879338975913026,0.0
2017-01-05,-0.0422704974113887,,,,0,0,0,,20,0,0,0,0,,-0.0028539614217083994,-0.0
2017-01-06,-0.0500047317518577,,,,0,0,0,,20,0,0,0,0,,-0.007734234340469,-0.0
2017-01-09,-0.0501667023164502,,,,0,0,0,,20,0,0,0,0,,-0.0001619705645925021,-0.0
2017-01-10,-0.039241079122787,,,,0,0,0,,20,0,0,0,0,,0.010925623193663199,0.0
2017-01-11,-0.0393300462457224,,,,0,0,0,,20,0,0,0,0,,-8.896712293540027e-05,-0.0
2017-01-12,-0.0460307715972856,,,,0,0,0,,20,0,0,0,0,,-0.0067007253515632,-0.0
2017-01-13,-0.0658725185469215,,,,0,0,0,,20,0,0,0,0,,-0.019841746949635898,-0.0
2017-01-17,-0.0739396640435963,,,,0,0,0,,20,0,0,0,0,,-0.008067145496674796,-0.0
2017-01-18,-0.0703876243336809,,,,0,0,0,,20,0,0,0,0,,0.003552039709915397,0.0
2017-01-19,-0.0498382766586011,,,,0,0,0,,20,0,0,0,0,,0.0205493476750798,0.0
2017-01-20,-0.0425343524627033,,,,0,0,0,,20,0,0,0,0,,0.007303924195897801,0.0
2017-01-23,-0.0337536351280638,,,,0,0,0,,20,0,0,0,0,,0.008780717334639497,0.0
2017-01-24,-0.0194466111277478,,,,0,0,0,,20,0,0,0,0,,0.014307024000315999,0.0
2017-01-25,-0.007400843559238,,,,0,0,0,,20,0,0,0,0,,0.0120457675685098,0.0
2017-01-26,0.0038225617651965,,,,0,0,0,,20,0,0,0,0,,0.0112234053244345,0.0
2017-01-27,0.0157827801285721,,,,0,0,0,,20,0,0,0,0,,0.0119602183633756,0.0
2017-01-30,-0.0098643644292657,,,,0,0,0,,20,0,0,0,0,,-0.0256471445578378,-0.0
2017-01-31,0.0126372577095192,,,,0,0,0,,20,0,0,0,0,,0.0225016221387849,0.0
2017-02-01,0.0229722563330216,,,,0,0,0,,20,0,0,0,0,,0.0103349986235024,0.0
2017-02-02,0.0229731865191009,,,,0,0,0,,20,0,0,0,0,,9.301860793009542e-07,0.0
2017-02-03,0.0105453169361,,,,0,0,0,,20,0,0,0,0,,-0.0124278695830009,-0.0
2017-02-06,0.0308691555647389,,,,0,0,0,,20,0,0,0,0,,0.0203238386286389,0.0
2017-02-07,0.0008323270110199,,,,0,0,0,,20,0,0,0,0,,-0.030036828553719,-0.0
2017-02-08,-0.0026640781887765,,,,0,0,0,,20,0,0,0,0,,-0.0034964051997964,-0.0
2017-02-09,0.0163688586595194,,,,0,0,0,,20,0,0,0,0,,0.0190329368482959,0.0
2017-02-10,0.0113514322253287,,,,0,0,0,,20,0,0,0,0,,-0.005017426434190701,-0.0
2017-02-13,0.0158457092644592,,,,0,0,0,,20,0,0,0,0,,0.004494277039130501,0.0
2017-02-14,0.0406022377427017,,,,0,0,0,,20,0,0,0,0,,0.024756528478242498,0.0
2017-02-15,0.0819951261647418,,,,0,0,0,,20,0,0,0,0,,0.04139288842204011,0.0
2017-02-16,0.0608935962770393,,,,0,0,0,,20,0,0,0,0,,-0.021101529887702503,-0.0
2017-02-17,0.05726686703452,,,,0,0,0,,20,0,0,0,0,,-0.0036267292425193054,-0.0
2017-02-21,0.0460430802054299,,,,0,0,0,,20,0,0,0,0,,-0.011223786829090095,-0.0
2017-02-22,0.0161897452910961,,,,0,0,0,,20,0,0,0,0,,-0.029853334914333802,-0.0
2017-02-23,0.0054391125144022,,,,0,0,0,,20,0,0,0,0,,-0.0107506327766939,-0.0
2017-02-24,0.0106494096781952,,,,0,0,0,,20,0,0,0,0,,0.005210297163793,0.0
2017-02-27,0.0095482378974764,,,,0,0,0,,20,0,0,0,0,,-0.0011011717807188001,-0.0
2017-02-28,0.0093273106426874,,,,0,0,0,,20,0,0,0,0,,-0.0002209272547889999,-0.0
2017-03-01,0.0309270472574016,,,,0,0,0,,20,0,0,0,0,,0.021599736614714198,0.0
2017-03-02,0.0255350239120915,,,,0,0,0,,20,0,0,0,0,,-0.005392023345310099,-0.0
2017-03-03,0.0224180319750209,,,,0,0,0,,20,0,0,0,0,,-0.003116991937070601,-0.0
2017-03-06,0.0138742750554259,,,,0,0,0,,20,0,0,0,0,,-0.008543756919594999,-0.0
2017-03-07,0.0241198479421074,,,,0,0,0,,20,0,0,0,0,,0.010245572886681499,0.0
2017-03-08,0.0157346096425872,,,,0,0,0,,20,0,0,0,0,,-0.0083852382995202,-0.0
2017-03-09,0.0254242964164506,,,,0,0,0,,20,0,0,0,0,,0.0096896867738634,0.0
2017-03-10,0.0326991010369939,,,,0,0,0,,20,0,0,0,0,,0.0072748046205433035,0.0
2017-03-13,0.029220594867013,,,,0,0,0,,20,0,0,0,0,,-0.0034785061699809036,-0.0
2017-03-14,0.0030355249026072,,,,0,0,0,,20,0,0,0,0,,-0.0261850699644058,-0.0
2017-03-15,0.027974497896019,,,,0,0,0,,20,0,0,0,0,,0.0249389729934118,0.0
2017-03-16,0.0428456042143041,,,,0,0,0,,20,0,0,0,0,,0.014871106318285098,0.0
2017-03-17,0.0496744780032303,,,,0,0,0,,20,0,0,0,0,,0.006828873788926201,0.0
2017-03-20,0.0417595959717491,,,,0,0,0,,20,0,0,0,0,,-0.007914882031481198,-0.0
2017-03-21,0.0399173489789497,,,,0,0,0,,20,0,0,0,0,,-0.001842246992799404,-0.0
2017-03-22,0.0293994291767329,,,,0,0,0,,20,0,0,0,0,,-0.010517919802216797,-0.0
2017-03-23,0.0123742543513172,,,,0,0,0,,20,0,0,0,0,,-0.017025174825415698,-0.0
2017-03-24,0.0131972278888738,,,,0,0,0,,20,0,0,0,0,,0.0008229735375565993,0.0
2017-03-27,0.0171833603463795,,,,0,0,0,,20,0,0,0,0,,0.0039861324575057,0.0
2017-03-28,0.0244349155475127,,,,0,0,0,0.5729027507684777,20,0,0,0,0,,0.0072515552011332,0.0
2017-03-29,0.0296403540678591,,,,0,0,0,0.6943815527299957,20,0,0,0,0,,0.005205438520346401,0.0
2017-03-30,0.0234870045513604,,,,0,0,0,0.4929404041634513,20,0,0,0,0,,-0.0061533495164987,-0.0
2017-03-31,0.0306164315473678,,,,0,0,0,0.674533012021974,20,0,0,0,0,,0.007129426996007399,0.0
2017-04-03,0.0385899911853,,,,0,0,0,0.8806009814212469,20,0,0,0,0,,0.007973559637932202,0.0
2017-04-04,0.054087640034532,,,,0,0,0,1.3075789141093115,20,0,0,0,0,,0.015497648849232,0.0
2017-04-05,0.0226426498091356,,,,0,0,0,0.32978794091256014,20,0,0,0,0,,-0.0314449902253964,-0.0
2017-04-06,0.0355171452757696,,,,0,0,0,0.7039609070841053,20,0,0,0,0,,0.012874495466634002,0.0
2017-04-07,0.0377808365248295,,,,0,0,0,0.7492838932042835,20,0,0,0,0,,0.002263691249059896,0.0
2017-04-10,0.0306892057414103,,,,0,0,0,0.4943646384861938,20,0,0,0,0,,-0.007091630783419199,-0.0
2017-04-11,0.0471330370094333,,,,0,0,0,1.0378815790204543,20,0,0,0,0,,0.016443831268023,0.0
2017-04-12,0.0532274760313482,,,,0,0,0,1.2809725059730093,20,0,0,0,0,,0.0060944390219149006,0.0
2017-04-13,0.0550914888283609,,,,0,0,0,1.4014715435779561,20,0,0,0,0,,0.001864012797012704,0.0
2017-04-17,0.055003072672993,,,,0,0,0,1.4164136630622002,20,0,0,0,0,,-8.841615536789998e-05,-0.0
2017-04-18,0.0428354671911899,,,,0,0,0,0.865028122865412,20,0,0,0,0,,-0.012167605481803102,-0.0
2017-04-19,0.0290679022502891,,,,0,0,0,0.1529166919111109,20,0,0,0,0,,-0.013767564940900798,-0.0
2017-04-20,0.0260050325343259,,,,0,0,0,-0.050681659726892585,20,0,0,0,0,,-0.0030628697159632012,-0.0
2017-04-21,0.033487877735352,,,,0,0,0,0.33627961359431224,20,0,0,0,0,,0.0074828452010261,0.0
2017-04-24,0.0367949786123995,,,,0,0,0,0.5006509501524641,20,0,0,0,0,,0.0033071008770474974,0.0
2017-04-25,0.0462483158361157,,,,0,0,0,1.014261113671192,20,0,0,0,0,,0.009453337223716204,0.0
2017-04-26,0.0459961216116484,,,,0,0,0,0.980182687839979,20,0,0,0,0,,-0.0002521942244673031,-0.0
2017-04-27,0.02884127596693,,,,0,0,0,-0.061377473452493586,20,0,0,0,0,,-0.0171548456447184,-0.0
2017-04-28,0.0264827269758987,,,,0,0,0,-0.2072757529954792,20,0,0,0,0,,-0.0023585489910313007,-0.0
2017-05-01,0.0211159025342038,,,,0,0,0,-0.5287424424552124,20,0,0,0,0,,-0.005366824441694899,-0.0
2017-05-02,0.016350187105635,,,,0,0,0,-0.8266608195735741,20,0,0,0,0,,-0.004765715428568802,-0.0
2017-05-03,0.0360643174249668,,,,0,0,0,0.3630224809752268,20,0,0,0,0,,0.019714130319331804,0.0
2017-05-04,0.0090975156449726,,,,0,0,0,-1.2951995199751292,20,0,0,0,0,,-0.026966801779994203,-0.0
2017-05-05,0.0363136046476357,,,,0,0,0,0.34653491759239835,20,0,0,0,0,,0.0272160890026631,0.0
2017-05-08,0.039457863356942,,,,0,0,0,0.5243708548567891,20,0,0,0,0,,0.003144258709306298,0.0
2017-05-09,0.0297121049294686,,,,0,0,0,-0.11885653780895768,20,0,0,0,0,,-0.0097457584274734,-0.0
2017-05-10,0.034675344185107,,,,0,0,0,0.1835813509532798,20,0,0,0,0,,0.004963239255638404,0.0
2017-05-11,0.0266853942478872,,,,0,0,0,-0.32337438584689904,20,0,0,0,0,,-0.007989949937219801,-0.0
2017-05-12,0.0284942741006606,,,,0,0,0,-0.16243868755306223,20,0,0,0,0,,0.0018088798527733999,0.0
2017-05-15,0.0415254657259005,,,,0,0,0,0.8335210496408959,20,0,0,0,0,,0.013031191625239896,0.0
2017-05-16,0.0546236724940589,,,,0,0,0,1.831215097694294,20,0,0,0,0,,0.013098206768158406,0.0
2017-05-17,0.0400050565747394,,,,0,0,0,0.7403896505762307,20,0,0,0,0,,-0.014618615919319504,-0.0
2017-05-18,0.0477852996790799,,,,0,0,0,1.2864615133395343,20,0,0,0,0,,0.007780243104340501,0.0
2017-05-19,0.0460212683104312,,,,0,0,0,1.1255026663054701,20,0,0,0,0,,-0.001764031368648701,-0.0
2017-05-22,0.0426350871328482,,,,0,0,0,0.8359791343323636,20,0,0,0,0,,-0.003386181177582999,-0.0
2017-05-23,0.0310771311890674,,,,0,0,0,-0.10419740484126434,20,0,0,0,0,,-0.011557955943780798,-0.0
2017-05-24,0.0170699232751294,,,,0,0,0,-1.2674218729018256,20,0,0,0,0,,-0.014007207913938002,-0.0
2017-05-25,0.032182627779747,,,,0,0,0,-0.02742244143469345,20,0,0,0,0,,0.015112704504617602,0.0
2017-05-26,0.0183925176714403,,,,0,0,0,-1.1412588947243216,20,0,0,0,0,,-0.013790110108306702,-0.0
2017-05-30,-0.0116091872705235,,,,0,0,0,-3.2298880658528026,20,0,0,0,0,,-0.0300017049419638,-0.0
2017-05-31,-0.0329797485521119,,,,0,0,0,-4.091477336447828,20,0,0,0,0,,-0.0213705612815884,-0.0
2017-06-01,-0.020369230400453,,,,0,0,0,-2.988159992480416,20,0,0,0,0,,0.012610518151658902,0.0
2017-06-02,-0.0369659568016871,,,,0,0,0,-3.505508971186683,20,0,0,0,0,,-0.0165967264012341,-0.0
2017-06-05,-0.0455715285168851,,,,0,0,0,-3.476633890697906,20,0,0,0,0,,-0.008605571715197997,-0.0
2017-06-06,-0.0354093136906845,,,,0,0,0,-2.750347756135453,20,0,0,0,0,,0.010162214826200597,0.0
2017-06-07,-0.0587095178095715,,,,0,0,0,-3.3415723106437745,20,0,0,0,0,,-0.023300204118887002,-0.0
